English,Korean,Japanese,French,Spanish,Russian,Italian,Chinese,Vietnamese,Danish,Polish,Turkish,German
plate,접시,皿,assiette,plato,тарелка,piatto,盘子,đĩa,tallerken,talerz,tabak,Teller
poppy,양귀비,ケシ,coquelicot,amapola,мак,papavero,罂粟花,hoa anh túc,valmue,mak,haşhaş çiçeği,Mohnblume
porcupine,호저,ヤマアラシ,porc-épic,puercoespín,дикобраз,istrice,豪猪,nhím gai,pindsvin,jeżozwierz,dikenli kirpi,Stachelschwein
possum,주머니쥐,オポッサム,opossum,zarigüeya,опоссум,opossum,负鼠,thú có túi,punghjul,opos,keseli sıçan,Beutelratte
rabbit,토끼,ウサギ,lapin,conejo,кролик,coniglio,兔子,thỏ,kanin,królik,tavşan,Kaninchen
raccoon,너구리,アライグマ,raton laveur,mapache,енот,procione,浣熊,gấu trúc Mỹ,vaskebjørn,szop pracz,rakun,Waschbär
ray,가오리,エイ,raie,raya,скат,razza,鳐鱼,cá đuối,rokke,płaszczka,vatoz,Rochen
road,도로,道路,route,carretera,дорога,strada,道路,con đường,vej,droga,yol,Straße
rocket,로켓,ロケット,fusée,cohete,ракета,razzo,火箭,tên lửa,raket,rakieta,roket,Rakete
rose,장미,バラ,rose,rosa,роза,rosa,玫瑰,hoa hồng,rose,róża,gül,Rose
sea,바다,海,mer,mar,море,mare,大海,biển,hav,morze,deniz,Meer
seal,물개,アザラシ,phoque,foca,тюлень,foca,海豹,hải cẩu,sæl,foka,fok,Seehund
shark,상어,サメ,requin,tiburón,акула,squalo,鲨鱼,cá mập,haj,rekin,köpekbalığı,Hai
shrew,땃쥐,トガリネズミ,musaraigne,musaraña,землеройка,toporagno,鼩鼱,chuột chù,spidsmus,ryjówka,porsuk,Spitzmaus
skunk,스컹크,スカンク,mouffette,zorrillo,скунс,puzzola,臭鼬,chồn hôi,stinkdyr,skunks,kokarca,Stinktier
skyscraper,고층건물,高層ビル,gratte-ciel,rascacielos,небоскрёб,grattacielo,摩天大楼,nhà chọc trời,skyskraber,wieżowiec,gökdelen,Wolkenkratzer
snail,달팽이,カタツムリ,escargot,caracol,улитка,lumaca,蜗牛,ốc sên,snegl,ślimak,salyangoz,Schnecke
snake,뱀,ヘビ,serpent,serpiente,змея,serpente,蛇,rắn,slange,wąż,yılan,Schlange
spider,거미,クモ,araignée,araña,паук,ragno,蜘蛛,nhện,edderkop,pająk,örümcek,Spinne
squirrel,다람쥐,リス,écureuil,ardilla,белка,scoiattolo,松鼠,sóc,egern,wiewiórka,sincap,Eichhörnchen
streetcar,노면전차,路面電車,tramway,tranvía,трамвай,tram,有轨电车,xe điện,sporvogn,tramwaj,tramvay,Straßenbahn
sunflower,해바라기,ひまわり,tournesol,girasol,подсолнух,girasole,向日葵,hoa hướng dương,solsikke,słonecznik,ayçiçeği,Sonnenblume
sweet_pepper,피망,ピーマン,poivron,pimiento,перец,peperone,甜椒,ớt chuông,peberfrugt,papryka,dolmalık biber,Paprika
table,탁자,テーブル,table,mesa,стол,tavolo,桌子,bàn,bord,stół,masa,Tisch
tank,탱크,戦車,char,tanque,танк,carro armato,坦克,xe tăng,kampvogn,czołg,tank,Panzer
telephone,전화기,電話,téléphone,teléfono,телефон,telefono,电话,điện thoại,telefon,telefon,telefon,Telefon
television,텔레비전,テレビ,télévision,televisión,телевизор,televisione,电视,tivi,fjernsyn,telewizor,televizyon,Fernseher
tiger,호랑이,トラ,tigre,tigre,тигр,tigre,老虎,hổ,tiger,tygrys,kaplan,Tiger
tractor,트랙터,トラクター,tracteur,tractor,трактор,trattore,拖拉机,máy kéo,traktor,traktor,traktör,Traktor
train,기차,列車,train,tren,поезд,treno,火车,tàu hỏa,tog,pociąg,tren,Zug
trout,송어,マス,truite,trucha,форель,trota,鳟鱼,cá hồi,ørred,pstrąg,alabalık,Forelle
tulip,튤립,チューリップ,tulipe,tulipán,тюльпан,tulipano,郁金香,hoa tulip,tulipan,tulipan,lale,Tulpe
turtle,거북이,カメ,tortue,tortuga,черепаха,tartaruga,乌龟,rùa,skildpadde,żółw,kaplumbağa,Schildkröte
wardrobe,옷장,ワードローブ,armoire,guardarropa,шкаф,guardaroba,衣柜,tủ quần áo,garderobeskab,szafa,gardırop,Kleiderschrank
whale,고래,クジラ,baleine,ballena,кит,balena,鲸鱼,cá voi,hval,wieloryb,balina,Wal
willow_tree,버드나무,柳,saule,sauce,ива,salice,柳树,cây liễu,pilespids,wierzba,söğüt ağacı,Weide
wolf,늑대,オオカミ,loup,lobo,волк,lupo,狼,sói,ulv,wilk,kurt,Wolf
woman,여자,女性,femme,mujer,женщина,donna,女人,phụ nữ,kvinde,kobieta,kadın,Frau
worm,벌레,ミミズ,ver,gusano,червь,verme,蠕虫,sâu,orm,robak,solucan,Wurm
